id,route,party name
418,PATTARIMEDU,KPS MALIGAI
419,KOLIKALNATHAM ROAD,SUTHA MALIGAI
420,KOLIKALNATHAM ROAD,RAMESH MALIGAI
421,KOLIKALNATHAM ROAD,SEGAR MALIGAI
422,COLONY,FIVE STAR MALIGAI
423,PATTARIMEDU,NARASIMMA BAKERY
424,VELLORE ROAD,NANTHINI MALIGAI
425,MANIKAM PALAYAM,OMSAKTHI BAKERY
426,KOLIKALNATHAM ROAD,GOUTHAM MALIGAI
427,KOLIKALNATHAM ROAD,RBK MALI GAI
428,KOLIKALNATHAM ROAD,SIVAKUMAR MALIGAI
429,SANTHAPETTAI,SRIDEVI MALIGAI
430,SANGAGIRI ROAD,THE GRAND SWEETS  AND CAKES
431,VELLORE ROAD,AASAI MALIGAI V
432,SIDTHA LANTHUR,LOGANATHAN MALIGAI
433,KOLIKALNATHAM ROAD,ILAGI MALIGAI
434,COLONY,SATHIS THINESH BAKERY
435,KANTHAM PALAYAM,SKV GIRLS CANTEEN
436,VELLORE ROAD,SM MALIGAI
437,SOLASIRAMANI MOLASI,ARUMUGAM MALIGAIS
438,KOLIKALNATHAM ROAD,ARASU MALIGAI
439,KOLIKALNATHAM ROAD,JEYAM MALIGAI KN
440,KUMARAMANGALAM,SRI SAKTHI SUPER MARKET
441,VELLORE ROAD,AMMAIAPPA IYANGAR BAKERY VR
442,MORE PALAYAM,NELLAI ARJANA MALIGAI SR
443,MANIKAM PALAYAM,HANI MITHRA BAKERY
444,THOKAVADI,NILA BAKERY
445,PATTARIMEDU,PALANIMUTHU MALIGAI
446,ELACHIPALAYAM,SRI SARAVANA MALIGAI
447,ANNANAGAR SPP COLNY,SIVASAKTHI MALIGAI
448,DEVANAKURUCHI,VASANTHI MAKIGAI
449,SIDTHA LANTHUR,NELLAI ANGELS MALIGAI
450,PAVADI STREET,CHITRA MALIGAI
451,MORE PALAYAM,MAKKAL MALIGAI
452,EAST CAR STREET,ELAGOVAN MALIGAI
453,KOLIKALNATHAM ROAD,KUMARAGURU BAKERY
454,KANTHAM PALAYAM,ROYAL BAKERYK
455,SALEM ROAD,KANNAN DIPPARTMENT TWO
456,KOKRAYANPETAI,RAJASRI BAKERY
457,PAVADI STREET,SEENI MALIGAI
458,PUTHOOR THONDIKAD,SRI VELAVAN STORES
459,KUMARAMANGALAM,VVMK TEA STAL
460,SANTHAPETTAI,CITRA MALIGAI
461,PUTHOOR THONDIKAD,SIVASOORIYA MEDICAL
462,SIDTHA LANTHUR,GOLDEN BAKERY
463,MANIKAM PALAYAM,BALAJI SUPER MARKET
464,KANTHAM PALAYAM,BLACK BAKES TEA STAL
465,KOOTAPPALLI,VENGATESVARA BAKERY
466,ELACHIPALAYAM,MUGAVAI MALIGAI E
467,THOKAVADI,SELVAM MALIGAI KSR
468,THOKAVADI,SRI AMMAN MALIGAI TV
469,KOOTAPPALLI,SM STORES K
470,KUMARAMANGALAM,KANNAN MEDICAL
471,DEVANAKURUCHI,THOOTHUKUDI STORES
472,KOKRAYANPETAI,RAMASAMY MALIGAI
473,KOKRAYANPETAI,PUVEELI STORES
474,VELLORE ROAD,KVN MALIGAI
475,VELLORE ROAD,JEYALAKSHIMI BAKERY
476,KOOTAPPALLI,NANA NANI RESTARAND
477,THOKAVADI,ANDAVR MEDICAL
478,KOKRAYANPETAI,MARUTHI MALIGAI
479,KUMARAMANGALAM,PANDIAN MALIGAI
480,THOKAVADI,VINAYAGA MALIGAI
481,THOKAVADI,MEENACHI MALIGAI T
482,MANIKAM PALAYAM,SPK STORES
483,SOLASIRAMANI MOLASI,JAYAKUMARAN MALIGAIE
484,NORTH CAR STREET,BEST ENTERPRISES
485,SOLASIRAMANI MOLASI,SRI VINAYAGA DIPPARTMENT
486,ANNANAGAR SPP COLNY,DAMEGE
487,SOLASIRAMANI MOLASI,JAYAKUMARAN MALIGAI
488,ANNANAGAR SPP COLNY,NELLAI JKB MALIGAII
489,THOKAVADI,KOBIGA DIPPARTMEND
490,DEVANAKURUCHI,ARUN MALIGAI
491,KOKRAYANPETAI,KOIL KADAI
492,KOKRAYANPETAI,MUGAVAI MALIGAIK
493,VELLORE ROAD,ABU MALIGAI
494,SANTHAPETTAI,FRANCE BAKERY
495,VELLORE ROAD,SANTHIYA BAKERI
496,ANNANAGAR SPP COLNY,MATHI IYANGAR BAKERY
497,PATTARIMEDU,BALUSAMY MALIGAI
498,DEVANAKURUCHI,NANDHI STORES
499,ANNANAGAR SPP COLNY,MAIN STOCK2
500,THOKAVADI,KAVITHA MALIGAI
501,SOLASIRAMANI MOLASI,SRI VINAYAGA MEDICALS
502,ANNANAGAR SPP COLNY,SELVI STORES
503,ELACHIPALAYAM,NAZRINE MALIGAI
504,SIDTHA LANTHUR,SENTHUR DIPPARTMENT
505,ELACHIPALAYAM,NISHA MALIGAI
506,THOKAVADI,MURUGAN TEA STAL
507,KUMARAMANGALAM,SRS MART
508,SOLASIRAMANI MOLASI,SELVAVINAYAGA MALIGAI
509,SOLASIRAMANI MOLASI,SIVASAKTHI SSS BAKERY
510,ELACHIPALAYAM,SS BAKERY
511,ANNANAGAR SPP COLNY,CHENNAI HAT POPS
512,ETTIMADI,RATHNAVEL MALIGAI
513,KANTHAM PALAYAM,NEW NITHYANANDAN STORES
514,ANNANAGAR SPP COLNY,RAMASAMY MALIGAI SPP
515,KUMARAMANGALAM,JEYAHASINI MALIGAI
516,PATTARIMEDU,AS MALIGAI
517,MORE PALAYAM,THANGAM MEDICAL
518,KUMARAMANGALAM,NELLAIRANI MALIGAI
519,KUMARAMANGALAM,KMS MALIGAI
520,KANTHAM PALAYAM,SKM MALIGAI
521,VELLORE ROAD,ANBU MALIGAI
522,THOKAVADI,AMMAN MALIGAI OINS
523,SOLASIRAMANI MOLASI,INBARAJA  MALIGAI
524,VELLORE ROAD,HAPPY BAKERY
525,ANNANAGAR SPP COLNY,NEW NELLAI STORES SPP
526,DEVANAKURUCHI,SAMUTHAYA KOOTAM
527,VELLORE ROAD,MAHALACHIMI BAKERY VK
528,COLONY,JEYA MEDICAL
529,COLONY,GUNASEGARAN XEROX
530,SOLASIRAMANI MOLASI,NANTHINI MALIGAI S
531,KOKRAYANPETAI,JUM JUM HANITHA MALIGAI
532,SALEM ROAD,SRI MAYURA BAKERY TWO
533,ETTIMADI,SAMY MALIGAI
534,SOLASIRAMANI MOLASI,BMS MALIGAI
535,KOKRAYANPETAI,SANA BAKERY AP
536,PATTARIMEDU,SINDHU MEDICAL RS
537,MANIKAM PALAYAM,SWEETS BAKERS
538,MANIKAM PALAYAM,KPM MALIGAI
539,MORE PALAYAM,SKS MALIGAI
540,THOKAVADI,BASUBATHI BAKERY
541,SOUTH CAR STREET,HOTEL SARAVANABAVAN
542,SALEM ROAD,JUM JUM MASLIGAI
543,SIDTHA LANTHUR,INDIAN STORESS
544,SIDTHA LANTHUR,NELLAI MATHA STORES
545,SIDTHA LANTHUR,S MART SUPER MARKET
546,PUTHOOR THONDIKAD,NAKSATHIRA MALIGAI
547,THOKAVADI,SAKTHIVEL MALIGAI
548,DEVANAKURUCHI,SANA BAKERY DK
549,DEVANAKURUCHI,DEELIPAN MALIGAI
550,THOKAVADI,SK PHARMACY G
551,PUTHOOR THONDIKAD,KURINJI BAKERY TWO
552,MANIKAM PALAYAM,GK STORES
553,KUMARAMANGALAM,KONGU PALAKADAI ONE
554,MANIKAM PALAYAM,BALAMURUGAN STORES
555,MANIKAM PALAYAM,GOLDEN BAKERYM
556,PAVADI STREET,KOOTUBAY MALAR NILAYAM
557,SIDTHA LANTHUR,KAVIN MALIGAI TWO
558,ANNANAGAR SPP COLNY,SRI VINAYAGA MEDICALL
559,SANTHAPETTAI,THARANIS MEDICAL
560,KOKRAYANPETAI,MUGAMATHU MALIGAI
561,KANTHAM PALAYAM,DEVI MEDICAL
562,ANNANAGAR SPP COLNY,PRES BAKERY
563,NAMAKAL SNT ROAD,KALAI MEDICAL
564,SALEM ROAD,NEW JAYAM BAKERY
565,KOKRAYANPETAI,NEW LACKY MALIGAI
566,THOKAVADI,AMMAIAPPA BAKERYT
567,PATTARIMEDU,NELLAI ANGELS MALIGAIP
568,KOKRAYANPETAI,KAVERY MEDICAL
569,ANNANAGAR SPP COLNY,JJ DIPPARTMENT STORES
570,SALEM ROAD,JUMJUM MALIGAI
571,MANIKAM PALAYAM,THIRUMURUGAN MALIGAI
572,KUMARAMANGALAM,NITHIKSA MALIGAI
573,PAVADI STREET,SANMUGA MEDICALP
574,KUMARAMANGALAM,SSSM MALIGAI
575,PATTARIMEDU,ROJA MALIGAI
576,KOKRAYANPETAI,NS BAY MALIGAI
577,PATTARIMEDU,SHANMUGA BAKERY
578,Sundry Debtors,JEYASINI MALIGAI
579,THOKAVADI,SALOMI STORES
580,KOLIKALNATHAM ROAD,THANAM MALIGAI
581,ETTIMADI,SRI SAKTHI BAKERY
582,MANIKAM PALAYAM,VIJI BAKERY
583,PATTARIMEDU,MAYILI STORES
584,MANIKAM PALAYAM,GOOD VIBES MALIGAI
585,KOKRAYANPETAI,RAKMAN STORES
586,PATTARIMEDU,SANGARA MALIGAI
587,VELLORE ROAD,SRM SWEETS AND CAKES P LTD
588,ANNANAGAR SPP COLNY,FAMILY MART
589,VELLORE ROAD,SRI AMMAN MEDICAL
590,KOLIKALNATHAM ROAD,ASIMA MALIGAI
591,KOKRAYANPETAI,SIVANI IYANGAR BAKERY
592,KANTHAM PALAYAM,PERIYASAMY TEA STAL
593,MANIKAM PALAYAM,E K P MALIGAI
594,KOOTAPPALLI,UDHAYAM STORES MAIN
595,KOKRAYANPETAI,NILA BAKERYK
596,PATTARIMEDU,BATHIMA MALIGAI
597,ELACHIPALAYAM,KONGU BAKERY UNIEN OFFICE
598,NAMAKAL SNT ROAD,BOOKARAMA ESVARI
599,MANIKAM PALAYAM,HANIMITHRA
600,SOLASIRAMANI MOLASI,JAI ANJINEYA MEDICAL
601,MORE PALAYAM,KUMARAN BAKARY
602,MORE PALAYAM,KURINJI BAKERY KP
603,KUMARAMANGALAM,BEST MEDICAL
604,SANTHAPETTAI,TASTY BAKES ONE1
605,KOKRAYANPETAI,VINAYAGA  MEDICAL
606,KOKRAYANPETAI,THREE STAR BAKERY
607,ANNANAGAR SPP COLNY,NR DIPPARTMENT STORES
608,KOLIKALNATHAM ROAD,SRI VISHNU MAYA MALIGAI
609,KANTHAM PALAYAM,NITHYANANDAN
610,SOLASIRAMANI MOLASI,VELU MALIGAI
611,NAMAKAL SNT ROAD,HEMA MALIGAI
612,DEVANAKURUCHI,NANDHINI STORES
613,THOKAVADI,KAMACHI MALIGAIT
614,SALEM ROAD,ANANDAM MALIGAI
615,PATTARIMEDU,THAMILAN MALIGAI
616,SIDTHA LANTHUR,MANI MALIGAIS
617,KUMARAMANGALAM,KANNIMAR SAMY KOVIL
618,MORE PALAYAM,KANTHAN BAKERY
619,KOKRAYANPETAI,SRI GANAPATHY SUPERMARKET
620,MORE PALAYAM,NALANDAS SCHOOL CANTEEN
621,PUTHOOR THONDIKAD,MATHY MALIGAI
622,ETTIMADI,VIJIYA STORES
623,ELACHIPALAYAM,GRANT BAKERY
624,KUMARAMANGALAM,MEENACHI  CHIPS
625,KUMARAMANGALAM,MURUGAN MALIGAI NEW
626,SALEM ROAD,BLACK BEOKE
627,KUMARAMANGALAM,SRI KRISHNA DEPARTMENTAL STORE
628,PAVADI STREET,SIVAGURU POOJA STORES
629,THOKAVADI,ASIRVATHAM MALIGAI
630,SALEM ROAD,TESTY BAKERY BUSTAND
631,VELLORE ROAD,A TO Z SUPER MARKET V
632,KOKRAYANPETAI,VEERAMATHI AMMAN MALIGAI
633,SALEM ROAD,BLACK BASTAR
634,PATTARIMEDU,SM MALIGAIP
635,VELLORE ROAD,AMMAN MEDICAL
636,KOKRAYANPETAI,LECHIMI BAKERY
637,COLONY,JAYA MARUTHI MEDICALS
638,KUMARAMANGALAM,NELLAI KARUPATTI COFFI
639,DEVANAKURUCHI,NELLAI RENIS MALIGAI
640,DEVANAKURUCHI,GK MALIGAI
641,ETTIMADI,NELLAI MAHARAJA MALIGAI
642,Sundry Debtors,ARUVI IYANGAR BAKERY TWO
643,KOOTAPPALLI,TESTY BAKERY TWO
644,PATTARIMEDU,S TO Z BAKERY
645,VELLORE ROAD,IYANAR TEA STAL
646,KOKRAYANPETAI,NELLAI KUMAR MALIGAI
647,PATTARIMEDU,PR MALIGAI
648,COLONY,SAYRAM MALIGAI
649,MANIKAM PALAYAM,THIRUPATHY MALIGAI
650,THOKAVADI,KARUDA  BAKERY
651,THOKAVADI,YAL ARASAN MALIGAI
652,KOKRAYANPETAI,JAYASAKTHI DIPPARTMENT STORES
653,THOKAVADI,SELVA VINAYAGA MALIGAI
654,PUTHOOR THONDIKAD,SRI MURUGAN TRADERS
655,KANTHAM PALAYAM,MANISA FARMACY
656,NORTH CAR STREET,MASTER SWEET
657,SOLASIRAMANI MOLASI,ARASALA SETTIAR MALIGAI
658,MORE PALAYAM,KONGU BALBANNAI
659,MORE PALAYAM,NANDHU BALAKADAI
660,MORE PALAYAM,MS MALIGAI M
661,MORE PALAYAM,SRI IYANGAR BAKERY
662,MORE PALAYAM,KANAPATHI MALIGAI
663,KANTHAM PALAYAM,KBN MALIGAI
664,MORE PALAYAM,SREE BALAJI SUPER MARKETS
665,KOOTAPPALLI,KARUPATTY RAJA TEA STAL
666,MORE PALAYAM,SENTHIL MALIGAI NEW
667,MORE PALAYAM,SR BAKERYM
668,MORE PALAYAM,SRI MURUGAN DIPPARTMENT STORES
669,MORE PALAYAM,AASIQ MALIGAI
670,BUSTANT,ARUN ICE
671,MORE PALAYAM,MURUGAN STORE kp
672,MORE PALAYAM,MARIYAM MALIAGAI
673,MORE PALAYAM,KRISHNAVENI MALIGAI
674,NORTH CAR STREET,MM MALIGAI
675,SIDTHA LANTHUR,SARASWATHI MEDICAL
676,KOKRAYANPETAI,SN MALIGAI
677,KOKRAYANPETAI,SUDHA BAKERY
678,VELLORE ROAD,PRIYA MALIGAI
679,DEVANAKURUCHI,AYSA BAKERY
680,KOOTAPPALLI,NANTHI IYANGAR BAKERY
681,NAMAKAL SNT ROAD,KOVIL PATTY HOT SWEET
682,MORE PALAYAM,MURUGAN STORESS
683,SALEM ROAD,THAYA MEDOCAL
684,MORE PALAYAM,KAMACHI MALIGAI
685,KUMARAMANGALAM,BLACK PEKOE
686,KUMARAMANGALAM,SRI KUMARAN BAL BANNAI
687,NAMAKAL SNT ROAD,RAJALECHIMI MALIGAI
688,KOOTAPPALLI,THIRUMANI MAIGAI
689,NAMAKAL SNT ROAD,THILLAI MALIGAI
690,MORE PALAYAM,BLUCK BAKE TEA
691,KOLIKALNATHAM ROAD,MITHRAN MEDICAL
692,KOOTAPPALLI,INDIEN BAKERY KOOTAPALLI
693,DEVANAKURUCHI,DHANABAL TEA STALL
694,MORE PALAYAM,VRT MALIGAI
695,KANTHAM PALAYAM,MURUKESAN MALIGAI
696,KANTHAM PALAYAM,STAR MALIGAI
697,PATTARIMEDU,SENTHIL BOOJA
698,ANNANAGAR SPP COLNY,NEW SARATHI BASKERY
699,KOOTAPPALLI,UDHAYAM MALIGAI ULKADAI
700,MORE PALAYAM,DIVYAM MEDICAL
701,VELLORE ROAD,AVS COFFI BAR
702,SIDTHA LANTHUR,ROYAL BAKERY ONE
703,MANIKAM PALAYAM,SRI AMMAN DIPPARTMENT
704,NAMAKAL SNT ROAD,AMIRTHA SUPERMARKET
705,MORE PALAYAM,PONKALIAMMAN MALIGAI
706,PATTARIMEDU,KOVAI BAKERS RS
707,MANIKAM PALAYAM,RAPPAN STORES
708,MORE PALAYAM,SENGUNDAR ARTS COLLEGECANDINE
709,SANGAGIRI ROAD,THE GRAND BAKERY
710,EAST CAR STREET,SRI KRISHNA POOJA STORE
711,MORE PALAYAM,TASTY BAKSM
712,BUSTANT,MANGAI COOLDRINGS
713,COLONY,KM MALIGAIC
714,SOLASIRAMANI MOLASI,RAJA MALIGAIS
715,KOKRAYANPETAI,GRAND BAKERY
716,DEVANAKURUCHI,SRI MURUGAN MEDICAL
717,DEVANAKURUCHI,BALASUPRAMANIAM MALIGAI
718,SOLASIRAMANI MOLASI,ELAKYA MEDICAL
719,NAMAKAL SNT ROAD,DAMEGE STOCK DITAILS
720,KUMARAMANGALAM,SRS MART K
721,SOLASIRAMANI MOLASI,NM MALIGAIS
722,MORE PALAYAM,SELVI AMMAN MALIGAI
723,KANTHAM PALAYAM,CHERRY BAKES
724,MANIKAM PALAYAM,NEW AFRA MALIGAI
725,ELACHIPALAYAM,BALAMURUGAN TEA STAL
726,ELACHIPALAYAM,ASIQ MALIGAIE
727,BUSTANT,BLACK PASTER TEA SHOP
728,MORE PALAYAM,KUMARAVEL MALIGAI
729,PATTARIMEDU,MAHESH TEA STAL
730,PATTARIMEDU,GOWRI MEDICAL
731,SIDTHA LANTHUR,SWEET AND TASTY BAKERY
732,KOOTAPPALLI,SOORIYA STORES
733,KANTHAM PALAYAM,BABY MALIGAI
734,MORE PALAYAM,SENGOTAIYAN MALGAI
735,PATTARIMEDU,RAKMAN MALIGAI
736,KOLIKALNATHAM ROAD,MUGAVAI NEW
737,KOKRAYANPETAI,SM BAKERY&TEA STAL
738,KOKRAYANPETAI,NEW INDIAN DIPPARTMENT STORES
739,SIDTHA LANTHUR,SENTHOOR DEPARTMENT KK
740,KANTHAM PALAYAM,VINAYAGA SUPER MARKET
741,PATTARIMEDU,THIL MALIGAI
742,KUMARAMANGALAM,RAJA MALIGAI K
743,NAMAKAL SNT ROAD,DHIVYAM MADICAL
744,KOOTAPPALLI,SRI BAJAR DIPPARTMENT
745,SOLASIRAMANI MOLASI,MM MALIGAIM
746,SOLASIRAMANI MOLASI,BATHARAKALIAMMAN MALIGAI
747,THOKAVADI,SRI SAKTHI MURUGAN DEPARTMENT
748,NAMAKAL SNT ROAD,RAKUMATH MALIGAI
749,KANTHAM PALAYAM,JP BAKERY K
750,KOKRAYANPETAI,SAKTHI MEDICAL .
751,NAMAKAL SNT ROAD,BAVA DAYA STORES
752,KUMARAMANGALAM,JASERA MALIGAI
753,VELLORE ROAD,CHINNA DHURAI MALIGAI
754,NAMAKAL SNT ROAD,NELLAI PANDIYAN STORES
755,KUMARAMANGALAM,SANA BAKERY KK MALAYADI VARAM
756,MORE PALAYAM,KRS MALIGAI
757,ANNANAGAR SPP COLNY,NELLAI SIVASAKTHI MALIGAI
758,ANNANAGAR SPP COLNY,NAGULAN BAKES
759,PATTARIMEDU,MA MALIGAI
760,ELACHIPALAYAM,SIVASAKTHI MALIGAIE
761,MANIKAM PALAYAM,KIRESIYA MALIGAI
762,THOKAVADI,YESU MALIGAI
763,SANGAGIRI ROAD,ERODE PONNUSAMY HOTEL
764,KOOTAPPALLI,ANNAI MEDICAL
765,KOOTAPPALLI,SAIRAM MEDICAL
766,KOOTAPPALLI,MASTAR COFFI
767,PATTARIMEDU,TESTY BAKERY
768,KANTHAM PALAYAM,GANTHI SCHOOL
769,PUTHOOR THONDIKAD,SAIBABA BAKERY
770,DEVANAKURUCHI,NELLAI KALPANA MALIGAI
771,ELACHIPALAYAM,SITHESVARAN MALIGAI
772,NAMAKAL SNT ROAD,HARIHARAN
773,KOKRAYANPETAI,MALAR MALIGAI
774,SOUTH CAR STREET,R.D STORE
775,KANTHAM PALAYAM,KALAI BAKERS
776,ELACHIPALAYAM,AVS MALIGAI
777,SOLASIRAMANI MOLASI,SANTHIYA MALIGAIS
778,ELACHIPALAYAM,PVM BAKERY AND CACKS
779,SANTHAPETTAI,JEYAM DEPARTMENT STORES.
780,DEVANAKURUCHI,DAVID RAJA MALIGAI
781,ANNANAGAR SPP COLNY,BRATHAR BAKERY
782,KOOTAPPALLI,ATHI STORES
783,KOKRAYANPETAI,ELAKKYA STORES
784,SIDTHA LANTHUR,NEW GRANT BAKERY
785,KOLIKALNATHAM ROAD,BAKIYAM MALIGAI
786,COLONY,MUGAVAI MALIGAI C
787,KUMARAMANGALAM,JANAPRIYA MALIGAI
788,KUMARAMANGALAM,VELAVA BAKERY
789,KOKRAYANPETAI,BAGAVATHI  IYANGAR
790,NAMAKAL SNT ROAD,ANGAPPA  TEA STAL
791,SIDTHA LANTHUR,KANDAGURU MALIGAI
792,PATTARIMEDU,SIVASAKTHI SUPERMARKET
793,KANTHAM PALAYAM,NEW NELLAI ANGEL
794,KANTHAM PALAYAM,AMMAI APPA BAKERY
795,WEST CAR STREET,MS MALIGAI.
796,KANTHAM PALAYAM,SK AGENCY
797,VELLORE ROAD,ELAKKIYA MALIGAI
798,PATTARIMEDU,SABARI DIPPARTMENT STORES
799,KUMARAMANGALAM,SANBIYA MALIGAI
800,SANGAGIRI ROAD,RAMKI RIEL BALAMUTHIR SOLAI
801,KUMARAMANGALAM,VENKATESHWARA BAKERY .
802,KUMARAMANGALAM,KARPAGA VINAYAGAR MALIGAI
803,PATTARIMEDU,INDIAN BAKERY
804,PATTARIMEDU,MAHALAXMI BAKERY PALMADAI
805,SALEM ROAD,SRI UDHAYAM DEPARTMENT STORE
806,PATTARIMEDU,DHIVYAM PHARMACY
807,NORTH CAR STREET,AVC PHARMACY
808,COLONY,RM MALIGAI C
809,DEVANAKURUCHI,TATSY BAKERY
810,MANIKAM PALAYAM,GRACEYA MALIGAI
811,KOKRAYANPETAI,AMMAN STORES
812,ANNANAGAR SPP COLNY,NELLAI SUGUNA MALIGAI
813,PATTARIMEDU,BESCON BOREWELL COMPRESSOR
814,MANIKAM PALAYAM,ANBU MALIGAI M
815,KUMARAMANGALAM,OMSAKTHI MALIGAIE
816,ELACHIPALAYAM,JB MALIGAI
817,NAMAKAL SNT ROAD,ANBU MALIGAIA
818,EAST CAR STREET,SIVAKUMAR BALAKADAI
819,SOLASIRAMANI MOLASI,RAYAL MALIGAIE
820,MORE PALAYAM,BLACK PEKOE TEA SHOP
821,ANNANAGAR SPP COLNY,SSS MALIGAI
822,THOKAVADI,SANA BAKERY KSR OPP
823,NAMAKAL SNT ROAD,RANI BASGAR
824,NORTH CAR STREET,SURES BEETA
825,PAVADI STREET,PONSELVAM MALUGAI
826,NORTH CAR STREET,SAANTHI STORE
827,ANNANAGAR SPP COLNY,ANGALA PARAMESHWARI MALIGAI
828,SOLASIRAMANI MOLASI,MALAR MALIGAIS
829,PATTARIMEDU,PALANIYAPPA BAKERY
830,SANTHAPETTAI,BLACK POKOE JAYAM TEA
